"REPORT_ID","Sex","AGE_GROUP","Thrown Out","Injury Extent","Seat Belt","YEAR"
"2019-719-13/09/2024","Male","51","Thrown Out","By Private","Not Worn","2019"
"2019-727-13/09/2024","Male","11","Unknown","Treated at Hospital","Not Worn","2019"
"2019-732-13/09/2024","Male","XXX","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-738-13/09/2024","Male","64","Unknown","Treated at Hospital","Not Worn","2019"
"2019-755-13/09/2024","Female","19","Not Thrown Out","Fatal","Fitted - Not Worn","2019"
"2019-761-13/09/2024","Male","18","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-767-13/09/2024","Male","42","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-781-13/09/2024","Male","27","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-787-13/09/2024","Male","12","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-788-13/09/2024","Female","34","Unknown","Treated at Hospital","Not Worn","2019"
"2019-796-13/09/2024","Male","71","Unknown","Fatal","Not Worn","2019"
"2019-798-13/09/2024","Female","70","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-800-13/09/2024","Male","18","Unknown","By Private","Not Worn","2019"
"2019-804-13/09/2024","Male","21","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-823-13/09/2024","Male","43","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-828-13/09/2024","Male","21","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-835-13/09/2024","Male","46","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-849-13/09/2024","Male","28","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-851-13/09/2024","Female","34","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-857-13/09/2024","Male","41","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-860-13/09/2024","Female","40","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-873-13/09/2024","Female","82","Unknown","Fatal","Not Worn","2019"
"2019-875-13/09/2024","Male","14","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-880-13/09/2024","Male","72","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-887-13/09/2024","Male","55","Thrown Out","Treated at Hospital","Not Applicable","2019"
"2019-888-13/09/2024","Male","57","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-918-13/09/2024","Female","05","Unknown","Treated at Hospital","Not Worn","2019"
"2019-920-13/09/2024","Male","23","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-929-13/09/2024","Female","47","Unknown","Treated at Hospital","Not Worn","2019"
"2019-938-13/09/2024","Male","60","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-940-13/09/2024","Male","42","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-947-13/09/2024","Female","33","Thrown Out","By Private","Not Worn","2019"
"2019-965-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-968-13/09/2024","Male","19","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-969-13/09/2024","Male","84","Unknown","By Private","Not Worn","2019"
"2019-978-13/09/2024","Male","21","Unknown","Treated at Hospital","Not Worn","2019"
"2019-981-13/09/2024","Male","38","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-985-13/09/2024","Male","61","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-988-13/09/2024","Male","21","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-989-13/09/2024","Male","35","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1000-13/09/2024","Male","61","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1008-13/09/2024","Male","33","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1008-13/09/2024","Female","25","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1022-13/09/2024","Male","XXX","Thrown Out","By Private","Not Worn","2019"
"2019-1037-13/09/2024","Male","20","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1053-13/09/2024","Female","20","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1062-13/09/2024","Male","29","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1064-13/09/2024","Male","48","Thrown Out","By Private","Not Worn","2019"
"2019-1071-13/09/2024","Male","34","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1081-13/09/2024","Female","44","Not Thrown Out","By Private","Fitted - Not Worn","2019"
"2019-1087-13/09/2024","Male","19","Thrown Out","By Private","Not Worn","2019"
"2019-1089-13/09/2024","Female","26","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1107-13/09/2024","Female","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1116-13/09/2024","Female","46","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1121-13/09/2024","Male","64","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1125-13/09/2024","Male","67","Unknown","Fatal","Not Worn","2019"
"2019-1140-13/09/2024","Female","46","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1145-13/09/2024","Female","26","Not Thrown Out","Treated at Hospital","Fitted - Not Worn","2019"
"2019-1154-13/09/2024","Male","64","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1156-13/09/2024","Female","29","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1163-13/09/2024","Male","30","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1181-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1184-13/09/2024","Male","43","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1186-13/09/2024","Male","XXX","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1192-13/09/2024","Male","24","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1196-13/09/2024","Female","34","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1200-13/09/2024","Male","35","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1204-13/09/2024","Female","77","Unknown","Fatal","Not Worn","2019"
"2019-1206-13/09/2024","Male","17","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1220-13/09/2024","Female","17","Not Thrown Out","Treated at Hospital","Fitted - Not Worn","2019"
"2019-1220-13/09/2024","Female","18","Not Thrown Out","Treated at Hospital","Fitted - Not Worn","2019"
"2019-1239-13/09/2024","Male","37","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1244-13/09/2024","Male","39","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1245-13/09/2024","Female","39","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1251-13/09/2024","Female","26","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1254-13/09/2024","Male","41","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1261-13/09/2024","Male","35","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1273-13/09/2024","Male","34","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1293-13/09/2024","Male","45","Thrown Out","By Private","Not Worn","2019"
"2019-1324-13/09/2024","Male","XXX","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1327-13/09/2024","Male","59","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1328-13/09/2024","Male","40","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1351-13/09/2024","Male","20","Not Thrown Out","Treated at Hospital","Fitted - Not Worn","2019"
"2019-1362-13/09/2024","Male","33","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1387-13/09/2024","Male","15","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1407-13/09/2024","Male","43","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1410-13/09/2024","Male","48","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1412-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1413-13/09/2024","Male","49","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1418-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1424-13/09/2024","Male","64","Thrown Out","By Private","Not Worn","2019"
"2019-1439-13/09/2024","Male","55","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1445-13/09/2024","Male","45","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1447-13/09/2024","Male","36","Unknown","By Private","Not Worn","2019"
"2019-1457-13/09/2024","Male","23","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1467-13/09/2024","Female","38","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1469-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1475-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1488-13/09/2024","Male","16","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1489-13/09/2024","Male","19","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1492-13/09/2024","Male","57","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1492-13/09/2024","Male","56","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1493-13/09/2024","Male","23","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1494-13/09/2024","Male","45","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1497-13/09/2024","Male","67","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1527-13/09/2024","Female","11","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1533-13/09/2024","Male","20","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1536-13/09/2024","Male","30","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1539-13/09/2024","Male","56","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1542-13/09/2024","Male","31","Thrown Out","By Private","Not Worn","2019"
"2019-1548-13/09/2024","Male","22","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1553-13/09/2024","Male","32","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1554-13/09/2024","Male","66","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1570-13/09/2024","Male","47","Thrown Out","By Private","Not Worn","2019"
"2019-1587-13/09/2024","Male","18","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1599-13/09/2024","Male","41","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1601-13/09/2024","Male","71","Thrown Out","By Private","Not Worn","2019"
"2019-1620-13/09/2024","Male","30","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1628-13/09/2024","Male","46","Thrown Out","Fatal","Not Worn","2019"
"2019-1629-13/09/2024","Male","54","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1632-13/09/2024","Male","65","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1636-13/09/2024","Female","39","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1648-13/09/2024","Male","58","Unknown","By Private","Not Worn","2019"
"2019-1653-13/09/2024","Female","16","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1658-13/09/2024","Male","38","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1677-13/09/2024","Female","74","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1684-13/09/2024","Female","52","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1686-13/09/2024","Male","44","Thrown Out","By Private","Not Worn","2019"
"2019-1690-13/09/2024","Male","67","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1697-13/09/2024","Female","28","Thrown Out","By Private","Not Worn","2019"
"2019-1698-13/09/2024","Male","51","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1699-13/09/2024","Male","29","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1707-13/09/2024","Male","50","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1715-13/09/2024","Female","35","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1719-13/09/2024","Female","06","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1731-13/09/2024","Male","27","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1742-13/09/2024","Female","61","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1767-13/09/2024","Female","14","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1771-13/09/2024","Male","57","Thrown Out","By Private","Not Worn","2019"
"2019-1772-13/09/2024","Male","16","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1783-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1786-13/09/2024","Male","25","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1789-13/09/2024","Male","14","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1798-13/09/2024","Male","19","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1806-13/09/2024","Male","84","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1827-13/09/2024","Male","24","Thrown Out","Fatal","Not Worn","2019"
"2019-1834-13/09/2024","Male","31","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1840-13/09/2024","Male","53","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1856-13/09/2024","Male","40","Thrown Out","By Private","Not Worn","2019"
"2019-1857-13/09/2024","Male","31","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1869-13/09/2024","Male","21","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1874-13/09/2024","Female","57","Thrown Out","By Private","Not Worn","2019"
"2019-1878-13/09/2024","Male","48","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1884-13/09/2024","Male","31","Thrown Out","By Private","Not Worn","2019"
"2019-1885-13/09/2024","Female","59","Thrown Out","By Private","Not Worn","2019"
"2019-1889-13/09/2024","Female","32","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1889-13/09/2024","Male","06","Unknown","Admitted to Hospital","Not Worn","2019"
"2019-1899-13/09/2024","Male","36","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1918-13/09/2024","Male","42","Thrown Out","By Private","Not Worn","2019"
"2019-1925-13/09/2024","Male","54","Thrown Out","By Private","Not Worn","2019"
"2019-1934-13/09/2024","Male","21","Thrown Out","By Private","Not Worn","2019"
"2019-1949-13/09/2024","Female","51","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1957-13/09/2024","Male","31","Thrown Out","By Private","Not Worn","2019"
"2019-1961-13/09/2024","Female","39","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1962-13/09/2024","Male","35","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1963-13/09/2024","Male","24","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-1966-13/09/2024","Female","40","Unknown","Treated at Hospital","Not Worn","2019"
"2019-1989-13/09/2024","Female","34","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-1991-13/09/2024","Male","30","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2000-13/09/2024","Female","37","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2005-13/09/2024","Male","19","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2008-13/09/2024","Male","39","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2016-13/09/2024","Male","30","Thrown Out","Fatal","Not Worn","2019"
"2019-2024-13/09/2024","Female","37","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2035-13/09/2024","Male","55","Thrown Out","Fatal","Not Worn","2019"
"2019-2038-13/09/2024","Male","27","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2051-13/09/2024","Male","43","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2053-13/09/2024","Male","51","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2053-13/09/2024","Male","37","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2054-13/09/2024","Male","XXX","Thrown Out","By Private","Not Worn","2019"
"2019-2058-13/09/2024","Male","56","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2059-13/09/2024","Male","18","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2062-13/09/2024","Male","61","Unknown","By Private","Not Worn","2019"
"2019-2063-13/09/2024","Male","45","Thrown Out","By Private","Not Worn","2019"
"2019-2068-13/09/2024","Male","50","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2091-13/09/2024","Male","62","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2092-13/09/2024","Female","25","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2114-13/09/2024","Male","54","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2126-13/09/2024","Male","62","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2139-13/09/2024","Female","85","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2140-13/09/2024","Male","62","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2143-13/09/2024","Male","20","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2146-13/09/2024","Male","48","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2154-13/09/2024","Male","38","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2163-13/09/2024","Male","36","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2174-13/09/2024","Female","49","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2179-13/09/2024","Male","55","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2181-13/09/2024","Female","47","Unknown","Fatal","Not Worn","2019"
"2019-2183-13/09/2024","Female","25","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2185-13/09/2024","Male","44","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2222-13/09/2024","Male","36","Thrown Out","By Private","Not Worn","2019"
"2019-2224-13/09/2024","Female","44","Thrown Out","By Private","Not Worn","2019"
"2019-2226-13/09/2024","Male","46","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2228-13/09/2024","Male","20","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2234-13/09/2024","Female","69","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2241-13/09/2024","Male","25","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2256-13/09/2024","Male","42","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2276-13/09/2024","Female","52","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2279-13/09/2024","Male","58","Thrown Out","By Private","Not Worn","2019"
"2019-2282-13/09/2024","Male","47","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2292-13/09/2024","Male","62","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2299-13/09/2024","Male","52","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2307-13/09/2024","Male","32","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2321-13/09/2024","Male","34","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2324-13/09/2024","Male","47","Thrown Out","By Private","Not Worn","2019"
"2019-2326-13/09/2024","Male","XXX","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2330-13/09/2024","Male","24","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2342-13/09/2024","Male","24","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2355-13/09/2024","Male","59","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2358-13/09/2024","Female","45","Unknown","By Private","Not Worn","2019"
"2019-2363-13/09/2024","Male","18","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2416-13/09/2024","Male","28","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2417-13/09/2024","Male","56","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2429-13/09/2024","Male","16","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2437-13/09/2024","Male","20","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2439-13/09/2024","Male","59","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2446-13/09/2024","Male","32","Thrown Out","By Private","Not Worn","2019"
"2019-2447-13/09/2024","Male","18","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2448-13/09/2024","Male","32","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2457-13/09/2024","Female","60","Unknown","Treated at Hospital","Not Worn","2019"
"2019-2459-13/09/2024","Male","49","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2463-13/09/2024","Male","14","Thrown Out","Admitted to Hospital","Not Worn","2019"
"2019-2465-13/09/2024","Male","16","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2484-13/09/2024","Male","57","Thrown Out","Treated at Hospital","Not Worn","2019"
"2019-2503-13/09/2024","Male","24","Thrown Out","Treated at Hospital","Not Worn","2019"
