"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","BEST_DETECTION_METHOD","NO_DRUGS_DETECTED","COUNT"
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",7
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",6
2023,"NSW","Inner Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",40
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",30
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",21
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",18
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",28
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",23
2023,"NSW","Inner Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Inner Regional Australia","65 and over","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",4
2023,"NSW","Inner Regional Australia","65 and over","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","0-16","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",5
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",45
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",7
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",10
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",4
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",4
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",6
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",63
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",58
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",16
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",5
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",26
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",60
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",27
2023,"NSW","Major Cities of Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","65 and over","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Major Cities of Australia","65 and over","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",4
2023,"NSW","Outer Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Outer Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",5
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",9
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Outer Regional Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Outer Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Outer Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",9
2023,"NSW","Outer Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",7
2023,"NSW","Outer Regional Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",10
2023,"NSW","Outer Regional Australia","65 and over","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Remote Australia","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",3
2023,"NSW","Remote Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Remote Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",2
2023,"NSW","Remote Australia","40-64","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Unknown","17-25","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NSW","Unknown","26-39","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",5
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",5
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",3
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",6
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"NT","Unknown","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"TAS","Unknown","Unknown","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",146
2023,"VIC","Inner Regional Australia","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","65 and over","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",2
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","17-25","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","26-39","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
2023,"VIC","Inner Regional Australia","40-64","positive_drug_tests","Indicator (Stage 1)","Yes","Not applicable",1
